id,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,HR: Textually explicit activities,HR Notes,MM: Textually explicit activities,MM Notes,Flag for discussion,DONid,RK/CC notes,Master coding,Master coding fixed names
11,1996 - Outbreak of food-borne intoxication in India,8/12/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_08_12a-en/,Syndromic: gastrointestinal,Food-borne,India,"Issue request for assistance,Provide medical countermeasures (MCMs)","""Experts from the National Institute for Communicable Diseases, Delhi, have been called to investigate the cause of outbreak and to advise on its control"" -- reads as a request for assistance, not that they have initiated investigation.","Coordinate response with international partners,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","""Experts from the National Institute for Communicable Diseases, Delhi, have been called to investigate the cause of outbreak and to advise on its control."" - coordinate w/ international partners; initiate epi investigation",checked,DON-1996-08-12-a,"RK: I would go with initiate epi investigations (not coordination or request for assistance)

CC +1 on investigation, might also say issue request for assistance?
","Initiate epidemiological investigation,Issue request for assistance,Provide medical countermeasures (MCMs)","Initiate epidemiological investigation, Issue request for assistance, Provide medical countermeasures (MCMs)"
12,1996 - Cholera in Mongolia - Update 2,8/21/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_08_21a-en/,Cholera,,Mongolia,"Count cases,Count deaths,Publish and share data","Not clear which entity is involved in reporting (local reporting to national, general national reporting, or national reporting to WHO)","Count cases,Count deaths,Publish and share data","While cholera is an IHR reportable disease, level of reporting is unclear. Was the MOH report to the WHO? Was it a national level report? 

""Document and communicate results of epidemiological investigation"" refers to MOH reports, but the DONS does not specifically refer to an epi investigation, so leaving this out",checked,DON-1996-08-21-a,,"Count cases,Count deaths,Publish and share data","Count cases, Count deaths, Publish and share data"
13,1996 - Dengue/dengue haemorrhagic fever in India - Update,10/24/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_24-en/,Dengue fever,,India,"""Collect, manage, and share surveillance data across sectors"",Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency",,"""Collect, manage, and share surveillance data across sectors"",Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency",Reports from hospitals are a standard source for IBS,checked,DON-1996-10-24,,"""Collect, manage, and share surveillance data across sectors"",Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency","Collect/manage/share surveillance data across sectors, Count cases, Count deaths, Identify agent based on laboratory testing, National-level notification of potential public health emergency"
14,1996 - Dengue/dengue haemorrhagic fever in India - Update,10/31/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_10_31a-en/,Dengue fever,,India,"Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency","Text implies that cases were diagnosed, but this is not explicit in the text. ","Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency","Removed ""share information and key messages...."" because it is not explicit that the control guidance was shared with the public. ",,DON-1996-10-31-a,,"Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency","Count cases, Count deaths, Identify agent based on laboratory testing, National-level notification of potential public health emergency"
15,1996 - Dengue haemorrhagic fever in India,11/12/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_12b-en/,Dengue fever,,India,"Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency","NICD reported based on hospitals in Delhi (national-level notification), but it's not clear that these were explicitly reported to WHO or whether WHO just was made aware of the reports.

Reports activities that would be duties of the technical meeting (i.e. case management, public information campaign, etc.) but that are not actually underway.","Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency",,checked,DON-1996-11-12-b,,"Coordinate national response across sectors,Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency","Coordinate national response across sectors, Coordinate response with international partners, Count cases, Count deaths, National-level notification of potential public health emergency"
16,1996 - Ebola haemorrhagic fever in South Africa - Update,11/22/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_11_22-en/,Ebola virus,,South Africa,"Carry out screening/testing activities,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public",,"Carry out screening/testing activities,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public",,,DON-1996-11-22,,"Carry out screening/testing activities,Monitor and manage suspected cases,Perform contact tracing activities,Share information and key messages with the public","Carry out screening/testing activities, Monitor and manage suspected cases, Perform contact tracing activities, Share information and key messages with the public"
17,"1996 - Cholera in refugees: Kigoma, Tanzania",12/6/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_12_06c-en/,Cholera,,Tanzania,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Ensure power is available for humanitarian response activities,""Ensure proper water, sanitation, and hygiene (WASH)"",Ensure vulnerable populations' access to care and resources,Identify agent based on laboratory testing,Identify at risk population,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Procure diagnostics and laboratory testing material,Procure sampling material,Promote good hygiene practices,Provide clean water,Provide clinical care,Provide shelter for displaced populations,Transport or evacuate patients,Transport samples domestically","Good example where specific actions are named.

DON-1996-12-06-c provides a note with the case definition, implying it has been constructed.

No activity for deployment of community health workers, but sort of fits under ""initiate medical response"" along with expanded bed access

""Latrines have been built"" -- should this be considered as providing an essential hygiene item?
","Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Ensure power is available for humanitarian response activities,""Ensure proper water, sanitation, and hygiene (WASH)"",Ensure vulnerable populations' access to care and resources,Identify agent based on laboratory testing,Identify at risk population,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Procure diagnostics and laboratory testing material,Procure sampling material,Promote good hygiene practices,Provide clean water,Provide clinical care,Provide shelter for displaced populations,Transport or evacuate patients,Transport samples domestically",,,DON-1996-12-06-c,,"Collect biological and environmental samples,Conduct disease surveillance,Confirm diagnoses,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,Ensure power is available for humanitarian response activities,""Ensure proper water, sanitation, and hygiene (WASH)"",Ensure vulnerable populations' access to care and resources,Identify agent based on laboratory testing,Identify at risk population,Initiate medical response,""Maintain sanitation of facilities, buildings, vehicles and equipment"",Perform active case finding,Procure diagnostics and laboratory testing material,Procure sampling material,Promote good hygiene practices,Provide clean water,Provide clinical care,Provide shelter for displaced populations,Transport or evacuate patients,Transport samples domestically","Collect biological and environmental samples, Conduct disease surveillance, Confirm diagnoses, Construct case definitions, Coordinate response with international partners, Count cases, Count deaths, Diagnose cases, Ensure power is available for humanitarian response activities, Ensure proper water/sanitation/hygiene (WASH), Ensure vulnerable populations have access to care and resources, Identify agent based on laboratory testing, Identify at risk population, Initiate medical response, Maintain sanitation of facilities/buildings/vehicles/equipment, Perform active case finding, Procure diagnostics and laboratory testing material, Procure sampling material, Promote good hygiene practices, Provide clean water, Provide clinical care, Provide shelter for displaced populations, Transport or evacuate patients, Transport samples domestically"
18,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Ghana,"Complete descriptive analysis of outbreak,Count cases,Count deaths,Create inter-agency coordinating committee,Initiate immunization campaign,Monitor and manage suspected cases,Procure and transport medical countermeasures (MCMs),Share information and key messages with the public","""The Ministry of Health is basing its control strategy on health education, case management and vaccination activities"" -- doesn't actually mean it's implementing those things, just planning.

""External support has been obtained"" -- no activity for the actual provision (just the request) in GOAL.

Debatable whether the reporting in DON constitutes a descriptive analysis","Complete descriptive analysis of outbreak,Count cases,Count deaths,Create inter-agency coordinating committee,Initiate immunization campaign,Monitor and manage suspected cases,Procure and transport medical countermeasures (MCMs),Share information and key messages with the public","Control strategy: health education (share information and key messages), case management (monitor and manage cases) and vaccination (transport and dispense vaccines) activities. A task force has been created to coordinate reporting (manage and coordinate data reporting) and the support to the affected regions. External support has been obtained (issue request for assistance AND/OR request financial resources) to purchase vaccine, injection material and drugs.",,DON-1997-03-21-a,,"Complete descriptive analysis of outbreak,Count cases,Count deaths,Create inter-agency coordinating committee,Initiate immunization campaign,Monitor and manage suspected cases,Procure and transport medical countermeasures (MCMs),Share information and key messages with the public","Complete descriptive analysis of outbreak, Count cases, Count deaths, Create inter-agency coordinating committee, Initiate immunization campaign, Monitor and manage suspected cases, Procure and transport medical countermeasures (MCMs), Share information and key messages with the public"
19,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Burkina Faso,"Count cases,Count deaths","Not clear which entity is involved in reporting (local reporting to national, general national reporting, or national reporting to WHO)

Separate, but this DON is split into 5 different lines based on one sentence at the end, which is different than previous DONs which did not do this (DON-1996-04-02, for example)
","Count cases,Count deaths","Part of DON-1997-03-21-a, country case load (and no other information) referenced in final sentence",,DON-1997-03-21-a,,"Count cases,Count deaths","Count cases, Count deaths"
20,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Chad,"Count cases,Count deaths","Maybe a stretch on count cases?

Separate, but this DON is split into 5 different lines based on one sentence at the end, which is different than previous DONs which did not do this (DON-1996-04-02, for example)","Count cases,Count deaths","Part of DON-1997-03-21-a, country case load (and no other information) referenced in final sentence",,DON-1997-03-21-a,,"Count cases,Count deaths","Count cases, Count deaths"
21,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Gambia,"Count cases,Count deaths","Maybe a stretch on count cases?

Separate, but this DON is split into 5 different lines based on one sentence at the end, which is different than previous DONs which did not do this (DON-1996-04-02, for example)","Count cases,Count deaths","Part of DON-1997-03-21-a, country case load (and no other information) referenced in final sentence",,DON-1997-03-21-a,,"Count cases,Count deaths","Count cases, Count deaths"
22,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Mali,"Count cases,Count deaths","Maybe a stretch on count cases?

Separate, but this DON is split into 5 different lines based on one sentence at the end, which is different than previous DONs which did not do this (DON-1996-04-02, for example)","Count cases,Count deaths","Part of DON-1997-03-21-a, country case load (and no other information) referenced in final sentence",,DON-1997-03-21-a,,"Count cases,Count deaths","Count cases, Count deaths"
23,1997 - Meningitis in Ghana - Update,3/21/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_03_21a-en/,Syndromic: neurological,Meningitis,Togo,"Count cases,Count deaths","Maybe a stretch on count cases?

Separate, but this DON is split into 5 different lines based on one sentence at the end, which is different than previous DONs which did not do this (DON-1996-04-02, for example)","Count cases,Count deaths","Part of DON-1997-03-21-a, country case load (and no other information) referenced in final sentence",,DON-1997-03-21-a,,"Count cases,Count deaths","Count cases, Count deaths"
24,1997 - Lassa fever in Sierra Leone - Update,5/1/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_05_01-en/,Lassa fever,,Sierra Leone,"Complete descriptive analysis of outbreak,Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate medical response,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Share information and key messages with the public,Train workforce on infection prevention & control (IPC) guidelines,Transport or evacuate patients","




","Complete descriptive analysis of outbreak,Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate medical response,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Share information and key messages with the public,Train workforce on infection prevention & control (IPC) guidelines,Transport or evacuate patients","Identify and map security risks: ""Furthermore, with the improving political and security situation in Sierra Leone, the populace is moving about more freely to access health care facilities resulting in increased case reporting.""",checked,DON-1997-05-01,"RK: Delete 'identify and map security risk'. 

CC +1
","Complete descriptive analysis of outbreak,Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community"",Initiate medical response,Issue request for assistance,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide medical countermeasures (MCMs),Share information and key messages with the public,Train workforce on infection prevention & control (IPC) guidelines,Transport or evacuate patients","Complete descriptive analysis of outbreak, Conduct disease surveillance, Coordinate response with international partners, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Establish physical distancing measures in healthcare facilities/treatment centers/the broader community, Initiate medical response, Issue request for assistance, Procure and transport medical countermeasures (MCMs), Provide clinical care, Provide medical countermeasures (MCMs), Share information and key messages with the public, Train workforce on infection prevention & control (IPC) guidelines, Transport or evacuate patients"
25,1997 - Fatal myocarditis in Malaysia,6/6/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_06_06-en/,Syndromic: cardiovascular,Myocarditis,Malaysia,"Collect biological and environmental samples,Coordinate national response across sectors,Count cases,Count deaths,""Ensure proper water, sanitation, and hygiene (WASH)"",Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Perform active case finding,Promote good hygiene practices,Share information and key messages with the public",,"Collect biological and environmental samples,Coordinate national response across sectors,Count cases,Count deaths,""Ensure proper water, sanitation, and hygiene (WASH)"",Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Perform active case finding,Promote good hygiene practices,Share information and key messages with the public","""Identify agent based on laboratory..."" - agent has not been identified, but DONS clearly states that they are performing lab testing and analysis

""could suggest the diagnosis of foot and mouth disease as a possibility"" - closest I've seen to coding differential diagnosis
",,DON-1997-06-06,,"Collect biological and environmental samples,Coordinate national response across sectors,Count cases,Count deaths,""Ensure proper water, sanitation, and hygiene (WASH)"",Identify agent based on laboratory testing,Implement infection prevention and control (IPC) measures,Initiate epidemiological investigation,Perform active case finding,Promote good hygiene practices,Share information and key messages with the public","Collect biological and environmental samples, Coordinate national response across sectors, Count cases, Count deaths, Ensure proper water/sanitation/hygiene (WASH), Identify agent based on laboratory testing, Implement infection prevention and control (IPC) measures, Initiate epidemiological investigation, Perform active case finding, Promote good hygiene practices, Share information and key messages with the public"
26,1997 - Hantavirus Pulmonary Syndrome in the Americas,10/2/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_10_02b-en/,Hantavirus,HPS,Americas,"Collect data to assess magnitude and nature of the event,Count cases,Count deaths","weird one, not reallly an outbreak","Collect data to assess magnitude and nature of the event,Count cases,Count deaths",Exclude this from analysis - not an outbreak a report,checked,DON-1997-10-02-b,,"Collect data to assess magnitude and nature of the event,Count cases,Count deaths","Collect data to assess magnitude and nature of the event, Count cases, Count deaths"
27,1997 - Cholera in Kenya,10/28/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_10_28b-en/,Cholera,,Kenya,"Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Perform contact tracing activities,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide funding and/or financing,Share information and key messages with the public",,"Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Perform contact tracing activities,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide funding and/or financing,Share information and key messages with the public",,,DON-1997-10-28-b,,"Conduct disease surveillance,Coordinate response with international partners,Count cases,Count deaths,Perform contact tracing activities,Procure and transport medical countermeasures (MCMs),Provide clinical care,Provide funding and/or financing,Share information and key messages with the public","Conduct disease surveillance, Coordinate response with international partners, Count cases, Count deaths, Perform contact tracing activities, Procure and transport medical countermeasures (MCMs), Provide clinical care, Provide funding and/or financing, Share information and key messages with the public"
28,1997 - Monkeypox in the Democratic Republic of the Congo (former Zaire) - Update,11/14/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_11_14b-en/,Monkeypox,,Democratic Republic of the Congo,"Collect biological and environmental samples,Collect case patient information,Collect data to assess magnitude and nature of the event,Complete descriptive analysis of outbreak,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,Provide technical assistance",""" Some of the serum specimens obtained from suspect cases have been positive for varicella, and final analysis will take this into account."" = collect biological and environmental samples

","Collect biological and environmental samples,Collect case patient information,Collect data to assess magnitude and nature of the event,Complete descriptive analysis of outbreak,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,Provide technical assistance","Diagnose cases: ""The team identified 419 suspect cases fitting the case definition of a possible or probable case""",,DON-1997-11-14-b,"RK: is it both diagnose cases AND collect samples?  I think yes on both. 

CC +1
","Collect biological and environmental samples,Collect case patient information,Collect data to assess magnitude and nature of the event,Complete descriptive analysis of outbreak,Construct case definitions,Coordinate response with international partners,Count cases,Count deaths,Develop hypothesis to explain specific exposure that caused disease,Diagnose cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Monitor and manage suspected cases,Perform contact tracing activities,Provide clinical care,Provide technical assistance","Collect biological and environmental samples, Collect case patient information, Collect data to assess magnitude and nature of the event, Complete descriptive analysis of outbreak, Construct case definitions, Coordinate response with international partners, Count cases, Count deaths, Develop hypothesis to explain specific exposure that caused disease, Diagnose cases, Identify agent based on laboratory testing, Initiate epidemiological investigation, Monitor and manage suspected cases, Perform contact tracing activities, Provide clinical care, Provide technical assistance"
29,1997 - Cholera in Mozambique - Update 3,11/19/1997,https://www.who.int/emergencies/disease-outbreak-news/item/1997_11_19-en/,Cholera,,Mozambique,"Complete descriptive analysis of outbreak,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,""Ensure proper water, sanitation, and hygiene (WASH)"",Initiate medical response,Issue request for assistance,Provide clean water,Provide clinical care,""Request financial resources from global, regional, or bilateral funders"",Share information and key messages with the public,""Test for antiviral, antibiotic, and/or vaccine resistance""",,"Complete descriptive analysis of outbreak,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,""Ensure proper water, sanitation, and hygiene (WASH)"",Initiate medical response,Issue request for assistance,Provide clean water,Provide clinical care,""Request financial resources from global, regional, or bilateral funders"",Share information and key messages with the public,""Test for antiviral, antibiotic, and/or vaccine resistance""","Diagnose cases; Confirm diagnoses, Count cases: ""Forty-seven suspect cases (10 confirmed) were also registered""",,DON-1997-11-19,"RKk: ok with diagnose cases (since includes 37 not laboratory confirmed)

CC +1
","Complete descriptive analysis of outbreak,Confirm diagnoses,Coordinate response with international partners,Count cases,Count deaths,Diagnose cases,""Ensure proper water, sanitation, and hygiene (WASH)"",Initiate medical response,Issue request for assistance,Provide clean water,Provide clinical care,""Request financial resources from global, regional, or bilateral funders"",Share information and key messages with the public,""Test for antiviral, antibiotic, and/or vaccine resistance""","Complete descriptive analysis of outbreak, Confirm diagnoses, Coordinate response with international partners, Count cases, Count deaths, Diagnose cases, Ensure proper water/sanitation/hygiene (WASH), Initiate medical response, Issue request for assistance, Provide clean water, Provide clinical care, Request financial resources from global/regional/bilateral funders, Share information and key messages with the public, Test for antiviral/antibiotic/vaccine resistance"
30,1998 - Cholera in the United Republic of Tanzania (including Zanzibar),1/7/1998,https://www.who.int/emergencies/disease-outbreak-news/item/1998_01_07a-en/,Cholera,,United Republic of Tanzania,"Coordinate response with international partners,Count cases,Count deaths,Provide technical assistance",,"Coordinate response with international partners,Count cases,Count deaths,Provide technical assistance",,,DON-1998-01-07-a,,"Coordinate response with international partners,Count cases,Count deaths,Provide technical assistance","Coordinate response with international partners, Count cases, Count deaths, Provide technical assistance"
31,1998 - Cholera in Bhutan,8/31/1998,https://www.who.int/emergencies/disease-outbreak-news/item/1998_08_31-en/,Cholera,,Bhutan,"Count cases,WHO/WOAH notification",very short and vague,"Count cases,WHO/WOAH notification","""necessary measures have been taken by the MOH to control the disease and prevent its spread"" - but no details on what that means, what activities, who is involved, etc.",,DON-1998-08-31,,"Count cases,WHO/WOAH notification","Count cases, WHO/WOAH notification"
