,Act1,Act2,counts
40,"""Request financial resources from global, regional, or bilateral funders""",Manage and coordinate data collection and reporting,0.0
41,"""Request financial resources from global, regional, or bilateral funders""",Create and distribute standard treatment guidance ,0.0
42,"""Request financial resources from global, regional, or bilateral funders""",Close food premises or prohibit the sale or use of foods,0.0
43,"""Request financial resources from global, regional, or bilateral funders""",Identify and share relevant legislation and regulations across sectors,0.0
44,"""Request financial resources from global, regional, or bilateral funders""",Implement infection prevention and control (IPC) measures,0.0
45,"""Request financial resources from global, regional, or bilateral funders""",Identify infrastructure for isolation and quarantine facilities,0.0
46,"""Request financial resources from global, regional, or bilateral funders""",Transport samples internationally,0.0
47,"""Request financial resources from global, regional, or bilateral funders""",Manage emergency operations center (EOC) operations,0.0
48,"""Request financial resources from global, regional, or bilateral funders""",Create inter-agency coordinating committee,0.0
49,"""Request financial resources from global, regional, or bilateral funders""",Collect vaccination data,0.0
50,"""Request financial resources from global, regional, or bilateral funders""",Declare outbreak nationally,0.0
51,"""Request financial resources from global, regional, or bilateral funders""",Establish sample collection and transport protocols,0.0
52,"""Request financial resources from global, regional, or bilateral funders""",Coordinate response with international partners,2.0
53,"""Request financial resources from global, regional, or bilateral funders""",Ensure power is available for humanitarian response activities,0.0
54,"""Request financial resources from global, regional, or bilateral funders""",Remove implicated foods from market,0.0
55,"""Request financial resources from global, regional, or bilateral funders""",Train workforce on infection prevention & control (IPC) guidelines,0.0
56,"""Request financial resources from global, regional, or bilateral funders""",Establish public hotline or call center,0.0
57,"""Request financial resources from global, regional, or bilateral funders""",Engage the media,0.0
58,"""Request financial resources from global, regional, or bilateral funders""",Develop plan for the safe disposal of waste,0.0
59,"""Request financial resources from global, regional, or bilateral funders""",Provide funding and/or financing,0.0
60,"""Request financial resources from global, regional, or bilateral funders""",Train workforce in epidemic intelligence,0.0
61,"""Request financial resources from global, regional, or bilateral funders""",Manage clinical data,0.0
62,"""Request financial resources from global, regional, or bilateral funders""",Train contact tracers,0.0
63,"""Request financial resources from global, regional, or bilateral funders""",Train community on surveillance and/or contact tracing,0.0
64,"""Request financial resources from global, regional, or bilateral funders""",Identify reporting lines,0.0
65,"""Request financial resources from global, regional, or bilateral funders""",Complete public health needs assessment,0.0
66,"""Request financial resources from global, regional, or bilateral funders""",Document and communicate the results of epidemiological investigation,0.0
67,"""Request financial resources from global, regional, or bilateral funders""","""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
68,"""Request financial resources from global, regional, or bilateral funders""",Activate emergency operations center (EOC),0.0
69,"""Request financial resources from global, regional, or bilateral funders""",Provide clean water,1.0
70,"""Request financial resources from global, regional, or bilateral funders""",Provide mental health and counseling services,0.0
71,"""Request financial resources from global, regional, or bilateral funders""",Deactivate emergency operations center (EOC),0.0
72,"""Request financial resources from global, regional, or bilateral funders""",Notification of International Health Regulation (IHR) event,0.0
73,"""Request financial resources from global, regional, or bilateral funders""",Engage in ongoing dialogue with community,0.0
74,"""Request financial resources from global, regional, or bilateral funders""",Identify at risk population,0.0
75,"""Request financial resources from global, regional, or bilateral funders""",Integrate and analyze surveillance data,0.0
76,"""Request financial resources from global, regional, or bilateral funders""",Consider issuing trade restrictions,0.0
77,"""Request financial resources from global, regional, or bilateral funders""",Staff isolation facilities,0.0
78,"""Request financial resources from global, regional, or bilateral funders""",Confirm diagnoses,1.0
79,"""Request financial resources from global, regional, or bilateral funders""",Genetically sequence samples,0.0
80,"""Request financial resources from global, regional, or bilateral funders""",Compensate impacted populations,0.0
81,"""Request financial resources from global, regional, or bilateral funders""",Develop SOPs for burials,0.0
82,"""Request financial resources from global, regional, or bilateral funders""",Perform contact tracing activities,0.0
83,"""Request financial resources from global, regional, or bilateral funders""",Identify vulnerable populations,0.0
84,"""Request financial resources from global, regional, or bilateral funders""",Form differential diagnosis,0.0
85,"""Request financial resources from global, regional, or bilateral funders""",Assessment of surveillance systems,0.0
86,"""Request financial resources from global, regional, or bilateral funders""",Provide shelter for displaced populations,0.0
87,"""Request financial resources from global, regional, or bilateral funders""","""Dispose of animal carcasses, litter, and animal products""",0.0
88,"""Request financial resources from global, regional, or bilateral funders""",Manage supply chain for consumable medical equipment,0.0
89,"""Request financial resources from global, regional, or bilateral funders""",Mobilize and train volunteers,0.0
90,"""Request financial resources from global, regional, or bilateral funders""",Determine mode of transmission,0.0
91,"""Request financial resources from global, regional, or bilateral funders""",Plan systematic study,0.0
92,"""Request financial resources from global, regional, or bilateral funders""","""Test for antiviral, antibiotic, and/or vaccine resistance""",1.0
93,"""Request financial resources from global, regional, or bilateral funders""",Coordinate with security sector and law enforcement,0.0
94,"""Request financial resources from global, regional, or bilateral funders""",Initiate attribution investigation,0.0
95,"""Request financial resources from global, regional, or bilateral funders""",Acquire road transportation vehicles,0.0
96,"""Request financial resources from global, regional, or bilateral funders""",Carry out screening/testing activities,0.0
97,"""Request financial resources from global, regional, or bilateral funders""",Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
98,"""Request financial resources from global, regional, or bilateral funders""",Procure diagnostics and laboratory testing material,0.0
99,"""Request financial resources from global, regional, or bilateral funders""",Transport samples domestically,0.0
100,"""Request financial resources from global, regional, or bilateral funders""","""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
101,"""Request financial resources from global, regional, or bilateral funders""",Share information and key messages with the public,2.0
102,"""Request financial resources from global, regional, or bilateral funders""",Strengthen or revise infection prevention and control (IPC) guidelines,0.0
103,"""Request financial resources from global, regional, or bilateral funders""",Monitor and manage suspected cases,0.0
104,"""Request financial resources from global, regional, or bilateral funders""",Collect and manage data on security-related threats and events,0.0
105,"""Request financial resources from global, regional, or bilateral funders""",Share genetic sequence data with international community,0.0
106,"""Request financial resources from global, regional, or bilateral funders""",Conduct risk assessment,0.0
107,"""Request financial resources from global, regional, or bilateral funders""",Promote good hygiene practices,0.0
108,"""Request financial resources from global, regional, or bilateral funders""",Count deaths,2.0
109,"""Request financial resources from global, regional, or bilateral funders""",Transport or evacuate patients,0.0
110,"""Request financial resources from global, regional, or bilateral funders""","""Ensure proper water, sanitation, and hygiene (WASH)""",1.0
111,"""Request financial resources from global, regional, or bilateral funders""",Develop or update instruments governing public health surveillance and response,0.0
112,"""Request financial resources from global, regional, or bilateral funders""",Explore fundraising options,0.0
113,"""Request financial resources from global, regional, or bilateral funders""",Develop hypothesis to explain specific exposure that caused disease,0.0
114,"""Request financial resources from global, regional, or bilateral funders""",Consider enforcing physical distancing measures of infectious patients,0.0
115,"""Request financial resources from global, regional, or bilateral funders""",Perform active case finding,0.0
116,"""Request financial resources from global, regional, or bilateral funders""",Initiate immunization campaign,1.0
117,"""Request financial resources from global, regional, or bilateral funders""",Conduct and assess statistical analysis,0.0
118,"""Request financial resources from global, regional, or bilateral funders""",Identify and train local spokespersons,0.0
119,"""Request financial resources from global, regional, or bilateral funders""",Determine the existence of an outbreak,0.0
120,"""Request financial resources from global, regional, or bilateral funders""",Empower community to make decisions and implement and manage change,0.0
121,"""Request financial resources from global, regional, or bilateral funders""",Integrate humanitarian risk and public health data,0.0
122,"""Request financial resources from global, regional, or bilateral funders""",Assess impacts to local banks and economic systems,0.0
123,"""Request financial resources from global, regional, or bilateral funders""",Collect case patient information,0.0
124,"""Request financial resources from global, regional, or bilateral funders""",Provide medical countermeasures (MCMs),0.0
125,"""Request financial resources from global, regional, or bilateral funders""",Publish and share data,0.0
126,"""Request financial resources from global, regional, or bilateral funders""",Humanely destroy all infected and exposed animals,0.0
127,"""Request financial resources from global, regional, or bilateral funders""","""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
128,"""Request financial resources from global, regional, or bilateral funders""",Identify agent based on laboratory testing,0.0
129,"""Request financial resources from global, regional, or bilateral funders""",Initiate medical response,1.0
130,"""Request financial resources from global, regional, or bilateral funders""",Diagnose cases,0.0
131,"""Request financial resources from global, regional, or bilateral funders""",Manage potential clashes in national policy,0.0
132,Establish and train rapid response team,Verify outbreak signal(s),0.0
133,Establish and train rapid response team,Establish diagnostic protocols,0.0
134,Establish and train rapid response team,Count cases,6.0
135,Establish and train rapid response team,"""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community""",0.0
136,Establish and train rapid response team,Conduct disease surveillance,4.0
137,Establish and train rapid response team,Ensure vulnerable populations' access to care and resources,0.0
138,Establish and train rapid response team,Develop operational communication strategy,1.0
139,Establish and train rapid response team,Provide technical assistance,3.0
140,Establish and train rapid response team,Procure and transport medical countermeasures (MCMs),1.0
141,Establish and train rapid response team,Define and document SOPs for surveillance and epidemic intelligence,0.0
142,Establish and train rapid response team,Identify and interview initial case(s),0.0
143,Establish and train rapid response team,Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,0.0
144,Establish and train rapid response team,Modify food production or preparation process,0.0
145,Establish and train rapid response team,Collect data on population impacts,0.0
146,Establish and train rapid response team,Conduct surveillance at points of entry,0.0
147,Establish and train rapid response team,Monitor and manage rumors and misinformation,0.0
148,Establish and train rapid response team,"""Collect, manage, and share surveillance data across sectors""",1.0
149,Establish and train rapid response team,Train burial teams,0.0
150,Establish and train rapid response team,Initiate epidemiological investigation,3.0
151,Establish and train rapid response team,Issue emergency declaration,0.0
152,Establish and train rapid response team,National-level notification of potential public health emergency,0.0
153,Establish and train rapid response team,Determine policy on mandatory screenings and/or testing,0.0
154,Establish and train rapid response team,Monitor the long-term safety and efficacy of vaccines,0.0
155,Establish and train rapid response team,Identify travel or border restrictions,0.0
156,Establish and train rapid response team,Ongoing communication with funders,0.0
157,Establish and train rapid response team,Procure sampling material,0.0
158,Establish and train rapid response team,WHO/WOAH notification,3.0
159,Establish and train rapid response team,Implement vector control measures,0.0
160,Establish and train rapid response team,Coordinate national response across sectors,4.0
161,Establish and train rapid response team,Conduct anthropological assessment,0.0
162,Establish and train rapid response team,Issue request for assistance,0.0
163,Establish and train rapid response team,Complete descriptive analysis of outbreak,3.0
164,Establish and train rapid response team,Construct case definitions,0.0
165,Establish and train rapid response team,Provide clinical care,2.0
166,Establish and train rapid response team,Collect data to assess magnitude and nature of the event,0.0
167,Establish and train rapid response team,Collect biological and environmental samples,2.0
168,Establish and train rapid response team,Update cross-border agreements,0.0
169,Establish and train rapid response team,Train workforce in clinical care and case management practices,2.0
170,Establish and train rapid response team,"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
171,Establish and train rapid response team,Manage and coordinate data collection and reporting,1.0
172,Establish and train rapid response team,Create and distribute standard treatment guidance ,0.0
173,Establish and train rapid response team,Close food premises or prohibit the sale or use of foods,0.0
174,Establish and train rapid response team,Identify and share relevant legislation and regulations across sectors,0.0
175,Establish and train rapid response team,Implement infection prevention and control (IPC) measures,1.0
176,Establish and train rapid response team,Identify infrastructure for isolation and quarantine facilities,1.0
177,Establish and train rapid response team,Transport samples internationally,0.0
178,Establish and train rapid response team,Manage emergency operations center (EOC) operations,1.0
179,Establish and train rapid response team,Create inter-agency coordinating committee,1.0
180,Establish and train rapid response team,Collect vaccination data,2.0
181,Establish and train rapid response team,Declare outbreak nationally,0.0
182,Establish and train rapid response team,Establish sample collection and transport protocols,1.0
183,Establish and train rapid response team,Coordinate response with international partners,3.0
184,Establish and train rapid response team,Ensure power is available for humanitarian response activities,0.0
185,Establish and train rapid response team,Remove implicated foods from market,0.0
186,Establish and train rapid response team,Train workforce on infection prevention & control (IPC) guidelines,0.0
187,Establish and train rapid response team,Establish public hotline or call center,0.0
188,Establish and train rapid response team,Engage the media,2.0
189,Establish and train rapid response team,Develop plan for the safe disposal of waste,0.0
190,Establish and train rapid response team,Provide funding and/or financing,0.0
191,Establish and train rapid response team,Train workforce in epidemic intelligence,0.0
192,Establish and train rapid response team,Manage clinical data,0.0
193,Establish and train rapid response team,Train contact tracers,0.0
194,Establish and train rapid response team,Train community on surveillance and/or contact tracing,0.0
195,Establish and train rapid response team,Identify reporting lines,0.0
196,Establish and train rapid response team,Complete public health needs assessment,1.0
197,Establish and train rapid response team,Document and communicate the results of epidemiological investigation,0.0
198,Establish and train rapid response team,"""Maintain sanitation of facilities, buildings, vehicles and equipment""",1.0
199,Establish and train rapid response team,Activate emergency operations center (EOC),2.0
200,Establish and train rapid response team,Provide clean water,1.0
201,Establish and train rapid response team,Provide mental health and counseling services,0.0
202,Establish and train rapid response team,Deactivate emergency operations center (EOC),1.0
203,Establish and train rapid response team,Notification of International Health Regulation (IHR) event,1.0
204,Establish and train rapid response team,Engage in ongoing dialogue with community,2.0
205,Establish and train rapid response team,Identify at risk population,0.0
206,Establish and train rapid response team,Integrate and analyze surveillance data,0.0
207,Establish and train rapid response team,Consider issuing trade restrictions,0.0
208,Establish and train rapid response team,Staff isolation facilities,0.0
209,Establish and train rapid response team,Confirm diagnoses,5.0
210,Establish and train rapid response team,Genetically sequence samples,1.0
211,Establish and train rapid response team,Compensate impacted populations,0.0
212,Establish and train rapid response team,Develop SOPs for burials,0.0
213,Establish and train rapid response team,Perform contact tracing activities,4.0
214,Establish and train rapid response team,Identify vulnerable populations,0.0
215,Establish and train rapid response team,Form differential diagnosis,0.0
216,Establish and train rapid response team,Assessment of surveillance systems,0.0
217,Establish and train rapid response team,Provide shelter for displaced populations,0.0
218,Establish and train rapid response team,"""Dispose of animal carcasses, litter, and animal products""",0.0
219,Establish and train rapid response team,Manage supply chain for consumable medical equipment,0.0
220,Establish and train rapid response team,Mobilize and train volunteers,1.0
221,Establish and train rapid response team,Determine mode of transmission,0.0
222,Establish and train rapid response team,Plan systematic study,0.0
223,Establish and train rapid response team,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
224,Establish and train rapid response team,Coordinate with security sector and law enforcement,0.0
225,Establish and train rapid response team,Initiate attribution investigation,0.0
226,Establish and train rapid response team,Acquire road transportation vehicles,0.0
227,Establish and train rapid response team,Carry out screening/testing activities,1.0
228,Establish and train rapid response team,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
229,Establish and train rapid response team,Procure diagnostics and laboratory testing material,0.0
230,Establish and train rapid response team,Transport samples domestically,0.0
231,Establish and train rapid response team,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
232,Establish and train rapid response team,Share information and key messages with the public,4.0
233,Establish and train rapid response team,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
234,Establish and train rapid response team,Monitor and manage suspected cases,3.0
235,Establish and train rapid response team,Collect and manage data on security-related threats and events,0.0
236,Establish and train rapid response team,Share genetic sequence data with international community,0.0
237,Establish and train rapid response team,Conduct risk assessment,3.0
238,Establish and train rapid response team,Promote good hygiene practices,0.0
239,Establish and train rapid response team,Count deaths,5.0
240,Establish and train rapid response team,Transport or evacuate patients,0.0
241,Establish and train rapid response team,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
242,Establish and train rapid response team,Develop or update instruments governing public health surveillance and response,0.0
243,Establish and train rapid response team,Explore fundraising options,0.0
244,Establish and train rapid response team,Develop hypothesis to explain specific exposure that caused disease,0.0
245,Establish and train rapid response team,Consider enforcing physical distancing measures of infectious patients,0.0
246,Establish and train rapid response team,Perform active case finding,0.0
247,Establish and train rapid response team,Initiate immunization campaign,1.0
248,Establish and train rapid response team,Conduct and assess statistical analysis,0.0
249,Establish and train rapid response team,Identify and train local spokespersons,0.0
250,Establish and train rapid response team,Determine the existence of an outbreak,0.0
251,Establish and train rapid response team,Empower community to make decisions and implement and manage change,3.0
252,Establish and train rapid response team,Integrate humanitarian risk and public health data,0.0
253,Establish and train rapid response team,Assess impacts to local banks and economic systems,0.0
254,Establish and train rapid response team,Collect case patient information,1.0
255,Establish and train rapid response team,Provide medical countermeasures (MCMs),0.0
256,Establish and train rapid response team,Publish and share data,1.0
257,Establish and train rapid response team,Humanely destroy all infected and exposed animals,0.0
258,Establish and train rapid response team,"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
259,Establish and train rapid response team,Identify agent based on laboratory testing,5.0
260,Establish and train rapid response team,Initiate medical response,4.0
261,Establish and train rapid response team,Diagnose cases,1.0
262,Establish and train rapid response team,Manage potential clashes in national policy,0.0
263,Verify outbreak signal(s),Establish diagnostic protocols,0.0
264,Verify outbreak signal(s),Count cases,0.0
265,Verify outbreak signal(s),"""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community""",0.0
266,Verify outbreak signal(s),Conduct disease surveillance,0.0
267,Verify outbreak signal(s),Ensure vulnerable populations' access to care and resources,0.0
268,Verify outbreak signal(s),Develop operational communication strategy,0.0
269,Verify outbreak signal(s),Provide technical assistance,0.0
270,Verify outbreak signal(s),Procure and transport medical countermeasures (MCMs),0.0
271,Verify outbreak signal(s),Define and document SOPs for surveillance and epidemic intelligence,0.0
272,Verify outbreak signal(s),Identify and interview initial case(s),0.0
273,Verify outbreak signal(s),Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,0.0
274,Verify outbreak signal(s),Modify food production or preparation process,0.0
275,Verify outbreak signal(s),Collect data on population impacts,0.0
276,Verify outbreak signal(s),Conduct surveillance at points of entry,0.0
277,Verify outbreak signal(s),Monitor and manage rumors and misinformation,0.0
278,Verify outbreak signal(s),"""Collect, manage, and share surveillance data across sectors""",0.0
279,Verify outbreak signal(s),Train burial teams,0.0
280,Verify outbreak signal(s),Initiate epidemiological investigation,1.0
281,Verify outbreak signal(s),Issue emergency declaration,0.0
282,Verify outbreak signal(s),National-level notification of potential public health emergency,0.0
283,Verify outbreak signal(s),Determine policy on mandatory screenings and/or testing,0.0
284,Verify outbreak signal(s),Monitor the long-term safety and efficacy of vaccines,0.0
285,Verify outbreak signal(s),Identify travel or border restrictions,0.0
286,Verify outbreak signal(s),Ongoing communication with funders,0.0
287,Verify outbreak signal(s),Procure sampling material,0.0
288,Verify outbreak signal(s),WHO/WOAH notification,0.0
289,Verify outbreak signal(s),Implement vector control measures,0.0
290,Verify outbreak signal(s),Coordinate national response across sectors,0.0
291,Verify outbreak signal(s),Conduct anthropological assessment,0.0
292,Verify outbreak signal(s),Issue request for assistance,0.0
293,Verify outbreak signal(s),Complete descriptive analysis of outbreak,0.0
294,Verify outbreak signal(s),Construct case definitions,0.0
295,Verify outbreak signal(s),Provide clinical care,1.0
296,Verify outbreak signal(s),Collect data to assess magnitude and nature of the event,0.0
297,Verify outbreak signal(s),Collect biological and environmental samples,0.0
298,Verify outbreak signal(s),Update cross-border agreements,0.0
299,Verify outbreak signal(s),Train workforce in clinical care and case management practices,0.0
300,Verify outbreak signal(s),"""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
301,Verify outbreak signal(s),Manage and coordinate data collection and reporting,0.0
302,Verify outbreak signal(s),Create and distribute standard treatment guidance ,0.0
303,Verify outbreak signal(s),Close food premises or prohibit the sale or use of foods,0.0
304,Verify outbreak signal(s),Identify and share relevant legislation and regulations across sectors,0.0
305,Verify outbreak signal(s),Implement infection prevention and control (IPC) measures,0.0
306,Verify outbreak signal(s),Identify infrastructure for isolation and quarantine facilities,0.0
307,Verify outbreak signal(s),Transport samples internationally,0.0
308,Verify outbreak signal(s),Manage emergency operations center (EOC) operations,0.0
309,Verify outbreak signal(s),Create inter-agency coordinating committee,0.0
310,Verify outbreak signal(s),Collect vaccination data,0.0
311,Verify outbreak signal(s),Declare outbreak nationally,0.0
312,Verify outbreak signal(s),Establish sample collection and transport protocols,0.0
313,Verify outbreak signal(s),Coordinate response with international partners,0.0
314,Verify outbreak signal(s),Ensure power is available for humanitarian response activities,0.0
315,Verify outbreak signal(s),Remove implicated foods from market,0.0
316,Verify outbreak signal(s),Train workforce on infection prevention & control (IPC) guidelines,0.0
317,Verify outbreak signal(s),Establish public hotline or call center,0.0
318,Verify outbreak signal(s),Engage the media,0.0
319,Verify outbreak signal(s),Develop plan for the safe disposal of waste,0.0
320,Verify outbreak signal(s),Provide funding and/or financing,0.0
321,Verify outbreak signal(s),Train workforce in epidemic intelligence,0.0
322,Verify outbreak signal(s),Manage clinical data,0.0
323,Verify outbreak signal(s),Train contact tracers,0.0
324,Verify outbreak signal(s),Train community on surveillance and/or contact tracing,0.0
325,Verify outbreak signal(s),Identify reporting lines,0.0
326,Verify outbreak signal(s),Complete public health needs assessment,0.0
327,Verify outbreak signal(s),Document and communicate the results of epidemiological investigation,0.0
328,Verify outbreak signal(s),"""Maintain sanitation of facilities, buildings, vehicles and equipment""",0.0
329,Verify outbreak signal(s),Activate emergency operations center (EOC),0.0
330,Verify outbreak signal(s),Provide clean water,0.0
331,Verify outbreak signal(s),Provide mental health and counseling services,0.0
332,Verify outbreak signal(s),Deactivate emergency operations center (EOC),0.0
333,Verify outbreak signal(s),Notification of International Health Regulation (IHR) event,0.0
334,Verify outbreak signal(s),Engage in ongoing dialogue with community,0.0
335,Verify outbreak signal(s),Identify at risk population,0.0
336,Verify outbreak signal(s),Integrate and analyze surveillance data,0.0
337,Verify outbreak signal(s),Consider issuing trade restrictions,0.0
338,Verify outbreak signal(s),Staff isolation facilities,0.0
339,Verify outbreak signal(s),Confirm diagnoses,1.0
340,Verify outbreak signal(s),Genetically sequence samples,0.0
341,Verify outbreak signal(s),Compensate impacted populations,0.0
342,Verify outbreak signal(s),Develop SOPs for burials,0.0
343,Verify outbreak signal(s),Perform contact tracing activities,0.0
344,Verify outbreak signal(s),Identify vulnerable populations,0.0
345,Verify outbreak signal(s),Form differential diagnosis,0.0
346,Verify outbreak signal(s),Assessment of surveillance systems,0.0
347,Verify outbreak signal(s),Provide shelter for displaced populations,0.0
348,Verify outbreak signal(s),"""Dispose of animal carcasses, litter, and animal products""",0.0
349,Verify outbreak signal(s),Manage supply chain for consumable medical equipment,0.0
350,Verify outbreak signal(s),Mobilize and train volunteers,0.0
351,Verify outbreak signal(s),Determine mode of transmission,0.0
352,Verify outbreak signal(s),Plan systematic study,0.0
353,Verify outbreak signal(s),"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
354,Verify outbreak signal(s),Coordinate with security sector and law enforcement,0.0
355,Verify outbreak signal(s),Initiate attribution investigation,0.0
356,Verify outbreak signal(s),Acquire road transportation vehicles,0.0
357,Verify outbreak signal(s),Carry out screening/testing activities,0.0
358,Verify outbreak signal(s),Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
359,Verify outbreak signal(s),Procure diagnostics and laboratory testing material,0.0
360,Verify outbreak signal(s),Transport samples domestically,0.0
361,Verify outbreak signal(s),"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
362,Verify outbreak signal(s),Share information and key messages with the public,0.0
363,Verify outbreak signal(s),Strengthen or revise infection prevention and control (IPC) guidelines,0.0
364,Verify outbreak signal(s),Monitor and manage suspected cases,0.0
365,Verify outbreak signal(s),Collect and manage data on security-related threats and events,0.0
366,Verify outbreak signal(s),Share genetic sequence data with international community,0.0
367,Verify outbreak signal(s),Conduct risk assessment,0.0
368,Verify outbreak signal(s),Promote good hygiene practices,0.0
369,Verify outbreak signal(s),Count deaths,0.0
370,Verify outbreak signal(s),Transport or evacuate patients,0.0
371,Verify outbreak signal(s),"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
372,Verify outbreak signal(s),Develop or update instruments governing public health surveillance and response,0.0
373,Verify outbreak signal(s),Explore fundraising options,0.0
374,Verify outbreak signal(s),Develop hypothesis to explain specific exposure that caused disease,0.0
375,Verify outbreak signal(s),Consider enforcing physical distancing measures of infectious patients,0.0
376,Verify outbreak signal(s),Perform active case finding,0.0
377,Verify outbreak signal(s),Initiate immunization campaign,0.0
378,Verify outbreak signal(s),Conduct and assess statistical analysis,0.0
379,Verify outbreak signal(s),Identify and train local spokespersons,0.0
380,Verify outbreak signal(s),Determine the existence of an outbreak,0.0
381,Verify outbreak signal(s),Empower community to make decisions and implement and manage change,0.0
382,Verify outbreak signal(s),Integrate humanitarian risk and public health data,0.0
383,Verify outbreak signal(s),Assess impacts to local banks and economic systems,0.0
384,Verify outbreak signal(s),Collect case patient information,0.0
385,Verify outbreak signal(s),Provide medical countermeasures (MCMs),0.0
386,Verify outbreak signal(s),Publish and share data,0.0
387,Verify outbreak signal(s),Humanely destroy all infected and exposed animals,0.0
388,Verify outbreak signal(s),"""Surveillance and tracing of potentially infected or exposed domestic animals, livestock, and wildlife""",0.0
389,Verify outbreak signal(s),Identify agent based on laboratory testing,1.0
