Activity,Function,Category,Phases,Description
Assessment and decontamination of animal infrastructure,"Animal health, Environmental decontamination","Healthcare & IPC, Logistics & support","Early response, Intervention, Post-intervention & recovery","<p>Decontamination refers to physical and chemical processes that kill or remove infectious microorganisms from premises and their components, such as equipment, vehicles, buildings, and even personnel.<sup class=""footnote"" data-id=""1"">1</sup> Its purpose in the context of an outbreak of infectious disease in animals is to reduce the risk of spread of the pathogen to other animals or to people.</p><p></p><p>The U.N. Food and Agriculture Organization offers guidance on how to determine what to decontaminate, and how to decontaminate successfully.<sup class=""footnote"" data-id=""2"">2</sup> While its focus is predominantly on List A diseases of the World Organisation for Animal Health, the principles and methods described may be useful for many other infections. Preliminary cleaning is the necessary initial step, as the mechanical process of brushing surfaces with detergent can remove viruses and prepare the surface for chemical decontamination.</p><p><em>It is crucial to identify the infectious agent and then choose a disinfectant based on that agent.</em> The size and lipid content of the microorganism are two features that can dictate which chemical to use. In general, there are five groups of disinfectants:</p><p><ul><li>soaps and detergents</li> <li>oxidizing agents</li> <li>alkalis</li> <li>acids</li> <li>aldehydes</li></ul></p><p>The application of these disinfectants needs to be combined with proper disposal of infectious waste practices. Veterinary authorities must be familiar with these considerations and prepare decontamination plans in advance to ensure that, when the time comes for decontamination, it can be executed quickly and effectively. A strategy should be developed that demonstrates a clear plan of action, regulatory discipline, conscientious documentation, responsible supervision, post-disinfection testing, and ability to meet legal, environmental, and societal requirements and expectations.<sup class=""footnote"" data-id=""3"">3</sup></p>"
Assessment and decontamination of infrastructure,"Infection prevention and control, Environmental decontamination","Healthcare & IPC, Logistics & support","Post-intervention & recovery, Intervention, Early response","<p>Decontamination refers to physical and chemical processes that kill or remove infectious microorganisms from premises and their components, such as equipment, vehicles, and buildings.<sup class=""footnote"" data-id=""1"">1</sup> Medical equipment and devices can also be part of that infrastructure. The purpose of decontamination in the context of an outbreak of infectious disease is to clean these objects in order to reduce the risk of spread of the pathogen to people.</p><p>Decontamination is an important element of infection prevention and control. When done effectively, it can help limit pathogen transmission by reducing the burden of pathogen in the environment, especially the built environment. A variety of infrastructures and areas will require decontamination, including hospital facilities, isolation centers, burial sites, and homes.</p><p>It is first necessary to assess the nature and extent of infrastructure contamination. This assessment will be based on the best scientific information to date about the pathogen and how it spreads. Officials may wish to perform environmental sampling to assess pathogen presence and burden in particular areas and how well decontamination measures are working. Officials should determine which areas need to be cleaned, including building surfaces (e.g., floors, walls, counters, door handles), ventilation systems, or any other areas that could have been exposed to the pathogen based on the circumstances of how it arrived and how it spreads. Assessment should also consider vehicles such as ambulances or others used to transport infected or potentially infected patients. Evaluation should also be made of major elements within the infrastructure, such as beds, wheelchairs, and medical equipment.</p><p>Successful decontamination involves choosing the correct disinfectant and the appropriate cleaning methods. Maximum effectiveness from disinfection results from an initial, thorough removal of organic and inorganic materials in order to prevent these materials from interfering with decontamination effectiveness.<sup class=""footnote"" data-id=""2"">2</sup> This cleaning to remove visible soil can be accomplished manually or mechanically using detergents or enzymatic products. Next, disinfectants that may be available include alcohol, chlorine, formaldehyde, glutaraldehyde, hydrogen peroxide, iodophors, ortho-phthalaldehyde, peracetic acid, phenolics, and quaternary ammonium compounds. <em>Not all disinfectants will work against all pathogens</em> . Also, because these compounds can be caustic, care must be taken to ensure the health and safety of those using or otherwise exposed to them. In addition to disinfections, other processes might include pasteurization and the use of ultraviolet light.</p><p>It is crucial to choose a disinfectant based on the properties of the agent. <em> </em> General infection prevention and control measures that address decontamination of the built environment may help decontamination for a novel pathogen, but it will be important to follow the best evidence emerging about how well the pathogen in question is counteracted by disinfectants and procedures. Medical equipment should be disinfected according to the manufacturer's instructions, hospital policies, and appropriate new emerging information and guidance. (For medical devices, WHO provides specific guidance for decontamination and reprocessing.<sup class=""footnote"" data-id=""3"">3</sup> )</p><p>Decontamination should not be done only once but should become routinized. This process should be combined with proper disposal of infectious waste practices. Authorities should be familiar with these considerations and prepare decontamination plans in advance to ensure that, when the time comes for decontamination, it can be executed quickly and effectively. A strategy should be developed that demonstrates a clear plan of action, regulatory discipline, conscientious documentation, responsible supervision, post-disinfection testing, and ability to meet legal, environmental, and societal requirements and expectations.<sup class=""footnote"" data-id=""4"">4</sup></p>"
Assessment of surveillance systems,Surveillance and epidemic intelligence,Epidemiology & lab analysis,Surveillance & preparedness,"<p>Assessing a surveillance system is an on-going process that evaluates the overall effectiveness and accuracy in early detection of acute public health events, as well as the timeliness and effectiveness of the response to that event, with the aim of optimizing the utility of the system for public health action. Regular evaluation of the surveillance system, and making corresponding updates at all levels, is an attribute corresponding to level 5 capacity under indicator D.2.1 (Surveillance systems) in the IHR Joint External Evaluation tool.<sup class=""footnote"" data-id=""1"">1</sup></p><p>A comprehensive assessment should include an evaluation of the existing system’s key indexes, listed below:</p><p><ul><li>Acceptability</li> <li>Completeness</li> <li>Flexibility of the existing system</li> <li>Representativeness</li> <li>Simplicity</li> <li>Timeliness</li> <li>Usefulness</li> <li>Sensitivity</li> <li>Specificity</li> <li>Positive predictive value</li></ul></p><p>Indicators based on these variables should be collected, directly or indirectly, over time to provide measures of performance, as well as change, in the system.<sup class=""footnote"" data-id=""2"">2</sup> While most of the above indicators are usually expressed as ratios, percentages, or other quantitative descriptors, it is also important to consider collection of qualitative data on the performance of the system, for example through stakeholder consultations and key informant interviews. These data are critical for ensuring that the surveillance system meets its desired objectives.  Additional benefits of performing routine assessments of the surveillance system include gathering data to use as an evidence-base to guide changes to the system or modifications to the system’s objectives; enabling more effective resource allocation; and providing a framework for understanding achievements as well as surveillance failures.<sup class=""footnote"" data-id=""3"">3</sup> In this way, on-going assessment, as well as evaluation, of a surveillance system is a critical tool for ensuring its relevance to national health priorities, within the context of continuous improvement.</p><p>The data from the surveillance assessment should be used to perform a gap analysis. The gap analysis uses a SWOT (strengths, weaknesses, opportunities and threats) approach to analyzing the existing surveillance system, taking into consideration the context of the country’s specific needs and priorities. Ideally, to prevent duplication of efforts and conserve resources, the gap analysis can draw on information derived from previous situation analyses or risk assessments to establish the country context. The gap analysis allows for the identification of key actions and resources needed to address identified gaps, and strengthen early detection and response to acute public health events.</p><p>A number of frameworks and guidelines have been developed to support national and sub-national monitoring and evaluation of surveillance systems, including from CDC and WHO. <sup class=""footnote"" data-id=""4"">4</sup><sup>,</sup><sup class=""footnote"" data-id=""5"">5</sup><sup>,</sup><sup class=""footnote"" data-id=""6"">6</sup></p>"
Carry out screening/testing activities,,,,
Close food premises or prohibit the sale or use of foods,Food safety,Healthcare & IPC,"Early response, Intervention, Post-intervention & recovery","<p>If an outbreak cannot be managed through modified production or preparation processes [TAG to “Modify food production or preparation process”], the production and/or preparation of the offending or implicated food may need to be temporarily suspended until the root source of the problem can be resolved.</p><p>An outbreak of food-borne illness or zoonotic disease in animals (or in plants contaminated with the pathogen) produced for food may necessitate the closure of premises that provide food, including wholesale and retail markets, restaurants and other eateries, catering companies, and any other outlet that provides or sells the implicated ingredient in some form.</p><p>Prohibiting sale or use of food<sup class=""footnote"" data-id=""1"">1</sup></p><p>The first consideration is whether to prohibit the sale or use of a specific food—i.e., removing it from market. If the risk to consumers is ingoing, the product is still on the market or within the distribution system, and/or likely to be in the homes of consumers, this may be a justifiable option. Food should be removed from market if:</p><p><ul><li>The illness and consumption of that food show a strong epidemiologic association (requiring a robust analytic study), even if the pathogen has not been isolated from the food; or</li> <li>Definitive lab results show the outbreak pathogen is present in the product; or</li> <li>Epidemiologic association is not strong, but the pathogen is so hazardous that the risk to the public is very high; if the descriptive epidemiology suggests an association between the disease and the suspected food, then removing food from the market might be warranted, even in the absence of confirmed laboratory findings.</li></ul></p><p>Closing food premises<sup class=""footnote"" data-id=""2"">2</sup></p><p>If an owner or operator is unable or unwilling to take immediate corrective action, closing the premises in question might be necessary. Doing so may require (per local regulations) demonstrating that the facility presents an imminent or substantial health hazard. The closure of food premises is a serious action, and considerations for taking this action should include:</p><p><ul><li>A clear plan with criteria should be established, including appropriate environmental testing for the facility to reopen; timely assistance and re-inspection will help facilities qualify for reopening</li> <li>Consideration of local regulations that must be adhered to when requiring closure of food premises</li> <li>If the facility owner will not act voluntarily, other control measures, such as cease-and-desist orders, permit action, or a legal hearing may be needed </li> <li>If the food premises are in an institution in which residents have no food alternatives, decision-makers must identify options for bringing in food, or otherwise leaving food premises open but eliminating high-risk items from the menu</li></ul></p>"
Collect and manage data on security-related threats and events,"Protection, Emergency humanitarian response","Safety & security, Humanitarian assistance","Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","Systematically collect, manage, and disseminate data on attacks on health facilities, healthcare workers, health transports, and patients throughout the outbreak."
Collect biological and environmental samples,"Epidemiological investigation, Clinical care and case management, Attribution investigation","Epidemiology & lab analysis, Healthcare & IPC, Safety & security","Intervention, Post-intervention & recovery, Detection, Early response","<p>As part of an outbreak investigation, biological and environmental samples should be securely collected for laboratory testing. The type of sample collected depends on the nature of the outbreak and should be taken from suspected case(s) and/or the environment as soon as possible once an outbreak has been identified. These will be needed for both epidemiological and attribution investigations.</p><p>Samples are selected on the basis of signs and symptoms and should be representative of the disease process.<sup class=""footnote"" data-id=""1"">1</sup> Biological samples typically include blood, urine, a nasopharyngeal/saliva specimen, vomitus, or feces. Ideally, samples should be collected prior to the administration of antivirals or antibiotics. The type of sample collected will depend on the suspected pathogen; to assess for the presence of a bloodborne pathogen, for instance, blood samples will be needed. The World Health Organization’s Disease Commodity Packages are a series of disease-specific data sheets that outline technical specifications for a dozen important infectious diseases, addressing areas such as the needed type of sample for diagnosis, collection vessel, and transport medium.<sup class=""footnote"" data-id=""2"">2</sup> Guidance for sample collection for foodborne outbreaks is also available.<sup class=""footnote"" data-id=""3"">3</sup></p><p>Samples can be taken from humans or from animals when investigators suspect a zoonotic outbreak. Environmental specimens include food, water, and fomites. They may be collected during disease outbreak investigations to confirm the source of the infectious agent. Environmental samples are frequently collected in conjunction with human clinical samples.<sup class=""footnote"" data-id=""4"">4</sup></p><p>Healthcare providers or technicians will need to be skilled in the procedures for collecting each of these sample types in a way that ensures patient safety, personnel safety, and sample integrity. Sample collection equipment, transport media, and personal protective equipment (PPE) are needed for safe and effective sample collection and should follow standard operating procedure guidance for each kind of collection, as provided through academic training guidance or national accrediting bodies. Providers must take care to follow best practices so as to avoid transmitting the pathogen via healthcare-associated infection. This may be a challenge with an emerging disease that is as yet unknown or about which little is known, but where guidance is available, it should be followed. Skilled sample collection is also important to ensure sample quality and quantity sufficient for laboratory analysis. The specimen amount and the rapidity of transport to the laboratory, for instance, can influence the test results.<sup class=""footnote"" data-id=""5"">5</sup></p><p>Once collected, samples should be labeled with a unique identifier to link to patient demographic and/or epidemiological information. The samples taken by healthcare providers will not only help provide diagnoses for individual patients, but can further support ongoing epidemiological investigations as well as law enforcement investigations to assess for a non-natural origin of the outbreak. Information sharing among healthcare providers, health officials, law enforcement, and laboratories is needed to pool such information and make it available for public health benefit.</p>"
Collect case patient information,,,,
Collect data on population impacts,Emergency humanitarian response,Humanitarian assistance,"Intervention, Post-intervention & recovery","Collect data using appropriate sampling approaches and accounting for age, gender, diversity and perceived needs of the affected populations into the methodology."
Collect data to assess magnitude and nature of the event,Surveillance and epidemic intelligence,Epidemiology & lab analysis,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>The initial signal may not contain all data needed for the assessment and the characterization of the risk. This is especially true when the signal originates from a non-official source. The search for complementary information is a step in both the incident-based surveillance (IBS) and event-based surveillance (EBS) processes that contributes to verification and risk assessment.<sup class=""footnote"" data-id=""1"">1</sup></p><p>The additional kinds of information that are needed to further assess the nature and magnitude of events are:<sup class=""footnote"" data-id=""2"">2</sup></p><p><ul><li>Nature of the event/agent/disease</li> <li>Source of event identification</li> <li>Location of the event</li> <li>Potential origin (infectious, chemical, radiological, nuclear)</li> <li>Date of event or date of onset</li> <li>Number of cases/deaths, severity of case</li> <li>Number of people potentially exposed to the hazard</li> <li>Groups affected (e.g. age, occupation, gender)</li> <li>Common clinical/laboratory characteristic among affected</li> <li>Likelihood of an intentional release</li> <li>Likelihood of group intoxication/contamination</li> <li>Potential for importation of cases to the country (for international events)</li></ul></p><p>This information can be collected during earlier steps of the IBS and EBS processes, especially during signal verification.</p>"
Collect vaccination data,Vaccination,Healthcare & IPC,"Early response, Intervention","Once a vaccine is available, health officials will need to routinely monitor of a variety of vaccine-related data. These may include number of doses available at a given point in time, percentage of population covered, georgaphic areas that are lagging in uptake, and early reports of adverse clinical events. Monitoring this information will enable officials to continually assess vaccination status and challenge areas."
"Collect, manage, and share surveillance data across sectors",Surveillance and epidemic intelligence,Epidemiology & lab analysis,"Surveillance & preparedness, Detection, Early response, Intervention, Post-intervention & recovery","<p>Surveillance data enable decision-makers to determine courses of action that can best prevent, contain, and mitigate outbreaks. The process of surveillance generates information that drives action, and to drive the best action, the surveillance data collected must be of sufficient quality, resolution, and timeliness to match the objectives of those who need to make decisions with it.<sup class=""footnote"" data-id=""1"">1</sup></p><em>Collection and management</em><p>Collection and management of surveillance data are the critical first steps to ensuring the ready availability of epidemic intelligence. Many countries have come to rely on formal <em>surveillance systems</em> , “a collection of processes and components that enable public health practitioners to conduct surveillance. Surveillance processes include data collection, data quality monitoring, data management, data analysis, interpretation of analytical results, information dissemination, and application of the information to public health programs.”<sup class=""footnote"" data-id=""2"">2</sup>  That is, it is not enough to have individual activities or programs that collect data—the individual elements that comprise data collection and usage should be aligned within and among programs to create an efficient process and useful operating picture.</p><p>The World Health Organization’s <em>Outbreak Toolkit</em> is a valuable resource for understanding what data to collect and how to collect it.<sup class=""footnote"" data-id=""3"">3</sup> The Toolkit’s <em>Data Collection Standard</em> , for instance, walks the reader through what information to collect and provides form for doing so. While paper forms have been important historically and may still be used in cases where power or resources make digital collection a hardship, surveillance data should ideally be collected, managed, and analyzed using an electronic data management system. Such electronic tools can ensure standardization, easy analysis, and easy sharing. Because data may often be epidemiologic line data—i.e., lists of detailed information about every case or suspected case in an outbreak—the volume can be considerable, making a digital means of management almost requisite to ensure all data are properly captured and stored. Field data capture can use software (some of which is free of cost) like Kobo-collect, Go data, Epi-info, and even Microsoft Excel.</p><em>Sharing</em><p></p><p>For intelligence to be useful, it must be shared. An additional benefit of digital data management is that it also helps facilitate downstream steps including the rapid dissemination of information across the various sectors involved in the prevention, detection, and response to outbreaks. The sharing the data and information with all stakeholders is an essential part of the surveillance process, crucial to facilitating a comprehensive response to a public health event. Sectors involved may include the Early Warning and Response coordination unit, the International Health Regulations National Focal Point,<sup class=""footnote"" data-id=""4"">4</sup> animal health and environmental health ministries, clinicians, private sector actors, and various other entities involved in the prevention, detection, and response to public health emergencies. Adhering to local, national, and international reporting procedures is requisite to ensuring an effective response. Internationally, the WHO is one consumer of the epidemic intelligence that countries produce and report, using that information to make decisions; in some cases, reporting to the WHO is required by the International Health Regulations. The World Organization for Animal Health (OIE) similarly requests epidemic intelligence on animal outbreaks, including zoonoses.</p>"
Communicate results of attribution investigation,"Attribution investigation, Communication, Operational coordination","Safety & security, Governance & coordination","Intervention, Post-intervention & recovery, Detection, Early response","<p>Once an attribution investigation has reached a determination, the results will need to be communicated to all stakeholders. Law enforcement or other relevant officials should communicate findings to the public, policymakers, clinicians, and other relevant groups and stakeholders. As the investigation may continue and evolve, information should continue to be shared as appropriate.</p>"
Compensate impacted populations,Funding and economic support,Governance & coordination,"Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
Complete descriptive analysis of outbreak,Epidemiological investigation,Epidemiology & lab analysis,"Detection, Early response","<p>A complete descriptive analysis orients the events of the outbreak in terms of time, place, and person. This includes “the personal characteristics of the cases, changes in disease frequency over time, difference of disease frequency based on location.”<sup class=""footnote"" data-id=""1"">1</sup> Descriptive analyses often consider the who, what, when, where and how of an outbreak. They explore who is affected based on the number of cases and demographic information of impacted persons, what those individuals were exposed to and how frequently, when the cases were detected, where exposure took place, and how the cases are effected.<sup class=""footnote"" data-id=""2"">2</sup></p><p>Case information recorded systematically in line lists facilitates analysis by framing the outbreak in terms of time, person, and place. These analyses typically involve drawing epidemic curves, building maps of the outbreak, and comparing populations. 	An epidemic curve is the standard visual tool used to analyze variation in the number of cases at intervals over time.<sup class=""footnote"" data-id=""3"">3</sup> Epi curves can aid in identifying the source of the outbreak by analyzing the shape of the curve, whether it is a point source, continuous common source, or propagated.<sup class=""footnote"" data-id=""4"">4</sup></p><p>Another important element of descriptive analysis of an outbreak involves building an outbreak map. Outbreak maps show the geographic extent of the public health event by plotting on a spot map “where the affected people live, work, or may have been exposed.” <sup class=""footnote"" data-id=""5"">5</sup> They are used to compare disease frequency by location and can reveal clusters or patterns in an outbreak that lead to a better understanding of the nature and etiology of the event.</p><p>The personal characteristics documented in the line lists can be used to compare outbreak prevalence and spread among different populations to better understand if certain demographic information strongly relates to exposure and risk of contracting the disease. Examples of relevant information include an individual’s age, social groupings, and/or personal contacts, i.e. family or friends. Epidemiologists can then look for possible patterns in disease spread or hot spots that are possibly linked by these personal attributes.<sup class=""footnote"" data-id=""6"">6</sup></p>"
Complete initial humanitarian risk assessment,Emergency humanitarian response,Humanitarian assistance,Early response,"Complete a rapid initial emergency humanitarian risk assessment focused on the humanitarian dimensions of the crisis (i.e. humanitarian profile, estimated number of people in need, humanitarian access.) This includes assessing the likelihood that the event will adversely affecting the health of the population and estimating the level of risk posed by a threat."
Complete public health needs assessment,"Risk assessment, Emergency humanitarian response","Epidemiology & lab analysis, Humanitarian assistance","Detection, Early response","<p>When an outbreak is detected, the emergency response team, generally the Ministry of Health and/or other public health authorities, must understand and meet the needs of the affected public. A public health needs assessment is a critical tool for determining public health requirements, as well as knowledge, attitudes, and practices of the exposed, or likely exposed, population. An assessment encourages the response team to avoid decision-making based on individual anecdotes and qualitative observations, instead promoting evidence-based decisions that address the needs of the entire community.</p><p>The data gathered should be analyzed in order to adequately inform decision makers and identify resources and activities needed for an effective and comprehensive response. Needs assessments allow for the collection of information and evaluation of the scope of the threat. This information guides the response team in anticipating health care needs, managing acute issues, and allocating limited resources. Put simply, a needs assessment is a valuable tool for comprehending and addressing an outbreak in a timely, fact-based, and thorough manner.<sup class=""footnote"" data-id=""1"">1</sup></p><p>One example of a public health needs assessment is the U.S. CDC Community Assessment for Public Health Emergency Response (CASPER) process, designed to help guide a community needs assessment in order to prioritize resources in an emergency response. CASPERs are generally used when the response team has limited or no information on aspects of a disaster such as its overall effect on a population or the current health status and basic needs of that population. As well, a CASPER can be useful when the response and recovery efforts must be evaluated. Before conducting a CASPER, the public health officials ought to identify the purpose, setting, and availability of resources.</p><p>In a CASPER, public health practitioners and emergency management officials rapidly characterize the health status and basic needs of the affected community. They rely on valid statistical methods to quantify health and basic needs, such that emergency leadership can prioritize aspects of their response and allocate resources accordingly. A CASPER is most effective if conducted in partnership with key stakeholders (local, state, and federal partners; private or nongovernmental organizations; educational institutions) who can offer unique subject matter expertise, analytical support, ground information, and other useful insight.</p><p>The main objectives of a CASPER are:</p><p><ul><li>determine the critical health needs and assess the impact of the disaster, </li> <li>characterize the population residing in the affected area, </li> <li>produce household-based information and estimates for decision-makers, and </li> <li>evaluate the effectiveness of relief efforts through conducting a follow-up CASPER. </li></ul></p><p>These objectives are met by responding promptly to an outbreak with a carefully laid-out assessment plan in a specified physical area. It is useful to train the field interview team prior to mobilization.<sup class=""footnote"" data-id=""2"">2</sup></p><p>Findings can be compiled and disseminated in two forms. First, a preliminary report or presentation should be shared with key stakeholders immediately (1-2 days) after data collection. Certain information should be communicated, including an introduction, methods, results, and conclusions sections. Second, a final report for wider distribution to all interested parties (e.g. EOCs, public health authorities, incident command staff, etc.) at a later time is based on the preliminary report but in greater detail. It should include an executive summary, introduction, methods, results, and conclusion.<sup class=""footnote"" data-id=""3"">3</sup></p>"
Conduct and assess statistical analysis,"Epidemiological investigation, Data management","Epidemiology & lab analysis, Governance & coordination","Detection, Early response","<p>Epidemiological studies utilize sample groups to make inferences about the wider population regarding the source of the outbreak. Statistical analysis may be necessary to test and evaluate the hypotheses formulated, and to quantify the association between various exposures and the disease. Depending on the study design, various frequency and effect measures are used during an outbreak investigation, including incidence, prevalence, mortality, relative risk, odds ratio, standard incidence ratio, and standardized mortality ratio.<sup class=""footnote"" data-id=""1"">1</sup> The two primary measures of association are odds ratio (OR) and risk ratio (RR), which demonstrate the strength of association between two variables, for example exposure and disease.<sup class=""footnote"" data-id=""2"">2</sup> RR is used for cohort studies, and OR for case control studies. The RR and OR are interpreted the same way:</p><p><ul><li>RR or OR = 1: exposure has no association with disease</li> <li>RR or OR &gt; 1: exposure may be positively associated with disease</li> <li>RR or OR &lt; 1: exposure may be negatively associated with disease</li></ul></p><p>To quantify the significance of the RR and OR, researchers use a range of statistical methods. Standard statistical analysis of the results often includes the calculation and interpretation of p-values and confidence internals (CI). The p-value is obtained from statistical significance tests, like t-test, chi-square, or ANOVA. It shows “the probability of finding an association as strong as, or stronger than, the one observed if the null hypothesis were true”<sup class=""footnote"" data-id=""3"">3</sup> . The null hypothesis is the assumption that exposure is unrelated to disease. If the p-value is small, <0.05, the null hypothesis is rejected and the results are deemed statistically significant. The CI relays the precision of the estimate and shows the range in which the true value is likely to fall.<sup class=""footnote"" data-id=""4"">4</sup> The most common CI used is 95%, indicating that the estimated range has a 95% chance of containing the true value.</p>"
Conduct anthropological assessment,Community engagement,Humanitarian assistance,Early response,"Deploy anthropologists to assess the social-cultural context of the community related to health seeking behavior, perception of the outbreak, and funeral practices."
